No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
191,Domino,Domino QDE Black,Enamel / lacquer / primer,piece / assorted,,,250,Active
192,Domino,Domino QDE Caramel Brown,Enamel / lacquer / primer,piece / assorted,,,250,Active
193,Domino,Domino QDE Caterpillar Yellow GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
194,Domino,Domino QDE Choco Brown GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
195,Domino,Domino QDE Emerald Green GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
196,Domino,Domino QDE International Red GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
197,Domino,Domino QDE Moly Orange GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
198,Domino,Domino QDE Thalo Blue GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
199,Domino,Domino QDE Thalo Green GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
200,Domino,Domino QDE White GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
201,Domino,Domino QDE Yellow GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
202,Duke,LTH Duke Lacquer Thinner GAL,Solvent / hardener,4 L / gal,4,,650,Active
203,Glasurit,GBF1L GLASURIT Body Filler LT,Putty / filler / sealer,1 L,1,,360,Active
204,Glasurit,GBF4L GLASURIT Body Filler GAL,Putty / filler / sealer,4 L / gal,4,,1450,Active
205,Glasurit,GLASURIT GH-S Hardener Only Small TUBE,Solvent / hardener,small tube,0.05,,10,Active
206,Gold,13-6112 GOLD Brilliant Metallic Fine,Paint / assorted,piece / assorted,,,250,Active
207,Guilder,GUILDER Epoxy Primer Gray GAL,Enamel / lacquer / primer,4 L / gal,4,,1250,Active
208,Hi Tech,HT Roller 4 FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
209,Hi Tech,HT Roller 4 SET,Accessory / tool,piece / assorted,,,150,Active
210,Hi Tech,HT Roller 7 FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
211,Hi Tech,HT Roller 7 SET,Accessory / tool,piece / assorted,,,220,Active
212,Hipic,400S Extra Catalyst QDS (Activator),Solvent / hardener,quart set,0.95,,250,Active
213,Hipic,HIPIC 200S MS Clear+Activator 1.5 LT,Solvent / hardener,1 L,1,,260,Active
214,Hipic,HIPIC 400S QDS+Activator LT,Solvent / hardener,1 L,1,,260,Active
215,Hippo,Hippo SP H#1000 Inactive,Inactive item,piece / assorted,,,,Inactive
216,Hippo,Hippo SP H#120 Inactive,Inactive item,piece / assorted,,,,Inactive
